sc_r,sc_eps,oc_r,oc_eps,sos_ktheta,so_kr,D_11,D_11H,D_14,BM_T11H,BM_T14
4.37489748,0.334119152,3.156918222,0.057065942,100,350,2.643601074,2.751040911,2.482954145,56.99152787,38.77887822
4.783425252,0.26020483,3.615604502,0.038971308,100,350,2.452796579,2.420649713,2.273236966,47.76022468,36.34830528
4.226967468,0.079139662,3.367913372,0.058133487,100,350,2.592575331,2.70214568,2.484491536,47.06651699,41.82683174
4.210088897,0.173473633,3.284830568,0.100989908,100,350,2.545981373,2.580792896,2.485428589,49.25288746,44.95134759
4.505659169,0.381354241,3.342620453,0.091422667,100,350,2.491855231,2.49838995,2.41640593,50.81002608,41.89325127
4.306565825,0.225563779,3.445611862,0.080069822,100,350,2.498832971,2.555471673,2.42501196,48.85563175,46.54147487
4.335313481,0.144464938,3.451558898,0.06268995,100,350,2.531081223,2.620911623,2.459621136,46.69553637,34.42518257
4.687037901,0.107953735,3.259638791,0.121801936,100,350,2.490221748,2.564960225,2.416565868,47.06050546,41.63438667
4.465728609,0.045133137,3.377699997,0.134244924,100,350,2.458048439,2.561338552,2.382974207,44.7395679,37.35417473
4.796812374,0.369714404,3.136983437,0.110062903,100,350,2.484851311,2.474407528,2.403070225,50.51876285,43.38184237
4.56369203,0.250989636,3.211772654,0.12755002,100,350,2.501123383,2.576678552,2.4310503,52.40321288,46.80410549
4.402335983,0.148998817,3.488942185,0.159678432,100,350,2.382242809,2.457541174,2.290035905,48.84845888,34.95325325
4.274920672,0.391665679,3.839945874,0.007279822,100,350,2.661439263,2.766216067,2.48904422,55.21396594,46.1107523
4.727115621,0.10407792,3.729453947,0.083525025,100,350,2.339011823,2.390317703,2.210202459,38.67186941,34.51195287
4.223696044,0.277683517,3.296486445,0.107133169,100,350,2.52951824,2.625328015,2.465887665,48.62071828,44.26498089
4.761070087,0.194813146,3.654233616,0.015179784,100,350,2.567115081,2.54248367,2.373975293,37.88190124,41.46224083
4.448692943,0.091503271,3.309232676,0.076765921,100,350,2.559380212,2.655088464,2.44365372,48.52898429,40.74372904
4.267560531,0.243564842,3.794360986,0.027812529,100,350,2.497633059,2.551100836,2.411617366,49.47572438,37.73365033
4.437379238,0.350303973,3.552043499,0.086822927,100,350,2.425333945,2.489552022,2.336880624,50.73325235,40.59306695
4.580170317,0.33907281,3.064450961,0.102730972,100,350,2.567505743,2.626617191,2.453568539,59.79204651,32.11381796
4.31659002,0.137650782,3.123387026,0.050893976,100,350,2.701388277,2.828116417,2.553263546,54.81009245,46.82086938
4.657135344,0.188877245,3.084943128,0.046046283,100,350,2.658029151,2.767456841,2.501932559,57.63083924,50.26036971
4.358259182,0.307029763,3.760813387,0.042501061,100,350,2.441397603,2.463543508,2.348902672,48.21791993,35.29349649
4.455506614,0.274759677,3.678987073,0.06484786,100,350,2.410029139,2.473241948,2.314622422,45.23659538,35.38303363
4.641724381,0.120011842,3.53228301,0.128248604,100,350,2.373963945,2.411340674,2.277735194,40.19949603,35.80151529
4.327518664,0.116050493,3.388035151,0.034579197,100,350,2.647191835,2.756233121,2.464796916,51.44468773,36.90385188
4.671541006,0.167419338,3.076890886,0.120495593,100,350,2.551049638,2.546166604,2.440510849,49.3179132,36.95207854
4.618163825,0.127093172,3.805816457,0.069680843,100,350,2.336866192,2.38975829,2.212070949,48.34631246,32.94235481
4.254430683,0.348224907,3.414206907,0.095435098,100,350,2.491399988,2.576237653,2.417638664,47.10992546,42.82347313
4.350212735,0.266806535,3.327047827,0.142464338,100,350,2.46759608,2.538828777,2.394228489,47.65971095,41.65116487
4.603824874,0.085519847,3.23153491,0.036428467,100,350,2.677075056,2.791585293,2.498427878,53.17488337,45.15908847
4.741731612,0.063716446,3.184567334,0.156669548,100,350,2.49330824,2.573541311,2.424945194,47.0925737,41.0407396
4.532250849,0.374687422,3.470717149,0.13572948,100,350,2.390531011,2.455231298,2.300350499,46.08860433,39.13367168
4.483409552,0.398233576,3.433712375,0.052939992,100,350,2.526029151,2.601707203,2.449975181,50.21586292,41.33532328
4.405584682,0.288710231,3.529913001,0.017121348,100,350,2.65391618,2.758004157,2.464081835,52.23731477,39.71095142
4.695248596,0.213937818,3.113301372,0.115896245,100,350,2.530203571,2.52601628,2.41587623,30.51071683,38.5341208
4.290406378,0.36305264,3.204007665,0.079632696,100,350,2.595629076,2.692608252,2.53673608,55.2037374,47.34693776
4.38960429,0.057212355,3.71768669,0.024478813,100,350,2.555803458,2.616737054,2.479157041,46.6784424,42.65930425
4.517400413,0.319501847,3.501845723,0.144872951,100,350,2.37329563,2.437539376,2.277300237,49.19292199,30.92979612
4.707622135,0.073332509,3.253712128,0.002915607,100,350,2.895699101,2.930501386,2.592126754,45.20175841,30.22952648
4.246045403,0.234670579,3.173918926,0.003435473,100,350,2.959560899,3.008238277,2.64886608,37.58274599,32.79394584
4.631521152,0.228292119,3.591312119,0.030992877,100,350,2.521897004,2.563417603,2.391287803,47.92964815,31.44985376
4.653548999,0.207123807,3.820952686,0.071389004,100,350,2.317595868,2.363580275,2.186633134,50.08076198,33.89591496
4.425798071,0.202134612,3.608223022,0.149897885,100,350,2.334558477,2.399552035,2.22660427,49.15734808,35.62526514
4.737000447,0.048330588,3.630276913,0.097904403,100,350,2.371094644,2.351304032,2.268064944,29.69965926,33.48515961
4.590617872,0.159502603,3.691708863,0.012706639,100,350,2.617298177,2.707636754,2.440261885,53.15883325,40.36283386
4.617613454,0.340063814,3.661130467,0.110495681,100,350,2.327322734,2.377179863,2.209164919,54.89081942,35.37400568
4.333767809,0.311313718,3.457076515,0.098264456,100,350,2.461855643,2.526832759,2.382306167,47.85620891,37.88636378
4.477951387,0.3099887,3.390118626,0.060208793,100,350,2.533305119,2.561614407,2.408984544,54.15860784,41.75488545
4.601441631,0.170634831,3.306936941,0.068205087,100,350,2.545096841,2.610978277,2.430502871,55.17409785,39.71001
4.457352185,0.3027663,3.607803609,0.121237182,100,350,2.357539351,2.420990262,2.256695169,54.98351781,34.9258678
4.743100341,0.243310445,3.145988842,0.10200781,100,350,2.519461873,2.508990499,2.398973833,34.67048206,41.15921898
4.79941,0.3966994,3.6514697,0.114572905,100,350,2.296969938,2.330991248,2.175740162,48.75190696,32.44341453
4.279137,0.34988853,3.2422378,0.093613744,100,350,2.561727828,2.64259035,2.500279014,60.27563716,42.86257181
4.646228,0.2899699,3.2230704,0.12624323,100,350,2.481229788,2.461364145,2.36760387,50.88078512,38.02990778
4.7710786,0.047386765,3.2359207,0.057025366,100,350,2.610166479,2.707095418,2.43701623,45.53412573,37.23585196
4.468645,0.06618245,3.3669822,0.12240486,100,350,2.47235392,2.555336067,2.39876191,41.93642415,40.87950829
4.4962425,0.3881491,3.5503647,0.00559661,100,350,2.714763283,2.819168727,2.55692035,44.92249177,51.82317398
4.522021,0.3766643,3.5520666,0.058506228,100,350,2.462788727,2.453492322,2.377106767,43.9737867,35.43408196
4.4617496,0.16623498,3.6302967,0.11823335,100,350,2.354096492,2.418280811,2.251750911,49.61762539,32.48050715
4.4902377,0.09897135,3.7203133,0.01828806,100,350,2.581241998,2.584886729,2.413150175,38.88628025,36.4420173
4.247417,0.12826791,3.7235994,0.060805257,100,350,2.419981423,2.458128377,2.32481382,42.484324,35.07469236
4.64216,0.31082588,3.7492075,0.08394386,100,350,2.322837216,2.369128252,2.190213596,49.36699857,34.94647893
4.371107,0.17731376,3.1529343,0.03278648,100,350,2.735262921,2.870806654,2.55054005,60.48049524,36.81270839
4.3408537,0.083347365,3.4755263,0.15790755,100,350,2.395387803,2.475355493,2.306308814,48.3890507,39.02966269
4.5563364,0.14074485,3.4328985,0.05430054,100,350,2.535436829,2.493833958,2.461613134,29.77021217,40.41123015
4.7427735,0.29065716,3.3944278,0.13475668,100,350,2.393762672,2.437733383,2.304594981,46.36028724,42.61489375
4.640996,0.09017995,3.5014682,0.013015271,100,350,2.701934931,2.816201223,2.509308502,50.05141132,47.40393731
4.23118,0.2649674,3.58252,0.10225291,100,350,2.411111011,2.484024644,2.320870936,44.53377089,38.37898812
4.5120244,0.37555507,3.549809,0.12229385,100,350,2.37333985,2.427349476,2.277225356,48.27232409,37.11177111
4.4847355,0.1385264,3.7340438,0.08531594,100,350,2.351251673,2.411686055,2.237267004,48.76216516,32.85831613
4.734532,0.18863147,3.746143,0.002948189,100,350,2.70116,2.73424231,2.513772809,42.39773714,22.07329816
4.6434746,0.1833109,3.794249,0.08496124,100,350,2.308693496,2.356291848,2.174707253,47.59129722,33.19782202
4.2615895,0.14406063,3.1980493,0.040493112,100,350,2.708901473,2.836984045,2.53203407,53.55377207,40.86567552
4.2705836,0.079511225,3.202816,0.091659516,100,350,2.596291798,2.700457066,2.543517503,51.03153479,43.71987527
4.7985206,0.34740013,3.281493,0.082838215,100,350,2.470290612,2.445369875,2.342579388,45.55381222,37.19239463
4.2998614,0.23850608,3.3804924,0.15964933,100,350,2.435636217,2.527853421,2.356904082,48.07926924,39.62634199
4.533519,0.1597003,3.6276596,0.04312555,100,350,2.485662397,2.556069301,2.352748914,50.07456551,34.51082709
4.5493636,0.206827,3.6692758,0.02090782,100,350,2.558239288,2.552363508,2.376141985,25.46508674,29.83421041
4.477201,0.21748465,3.6206362,0.1255734,100,350,2.34748231,2.410076404,2.2444103,52.59789157,34.09518267
4.371726,0.29024833,3.785914,0.058127355,100,350,2.385960712,2.437538252,2.282527428,41.15698287,33.96566668
4.679065,0.1364828,3.7716286,0.059772898,100,350,2.366349838,2.41769563,2.239392285,41.70274995,31.22962416
4.316574,0.22603025,3.842891,0.13859126,100,350,2.244445481,2.301180799,2.131813208,48.35729938,34.71571989
4.5398107,0.23358116,3.094139,0.07934597,100,350,2.606759501,2.685569101,2.478332409,56.20655671,37.89921935
4.781792,0.37462795,3.3178515,0.07756687,100,350,2.465941885,2.438600899,2.312691024,45.72897719,41.03164443
4.619386,0.350607,3.3076475,0.13442522,100,350,2.442977703,2.450993958,2.363238052,46.6554316,41.7755274
4.7804737,0.18345886,3.313624,0.1465366,100,350,2.420972572,2.42468181,2.33629965,44.10405283,39.2490208
4.2239046,0.24026422,3.5373533,0.079038136,100,350,2.467458215,2.54865965,2.386714157,44.44313084,39.57616375
4.6732836,0.08196807,3.525219,0.071675055,100,350,2.45710186,2.466739526,2.371228102,42.41206616,38.0430341
4.6329846,0.17502217,3.7234836,0.005613409,100,350,2.675683596,2.70703573,2.521121898,33.31725342,47.72473515
4.2493353,0.20586157,3.7200038,0.14765604,100,350,2.296672409,2.362272609,2.183543708,46.69564513,32.66260145
4.6798215,0.29016888,3.7649348,0.029583015,100,350,2.444890886,2.462231898,2.275795181,43.56714769,33.60906057
4.771497,0.379359,3.7846007,0.03872461,100,350,2.380130737,2.397951273,2.224424145,46.65062559,33.20388232
4.5073915,0.21472055,3.1976323,0.08564274,100,350,2.566609488,2.572064132,2.502043221,34.28355273,48.21279108
4.5355954,0.042277545,3.1648755,0.06536395,100,350,2.648523358,2.761642135,2.458797366,53.73045595,38.52897461
4.4913044,0.21406089,3.3347292,0.050695997,100,350,2.582925106,2.623158165,2.462789788,55.81564849,48.03635037
4.791515,0.1458706,3.2545583,0.12701938,100,350,2.464770162,2.493563596,2.385252422,52.89171284,44.08645609
4.6105714,0.09929926,3.429963,0.03615691,100,350,2.592798027,2.627535468,2.424064594,48.19508727,48.88637283
4.340714,0.3692793,3.646728,0.009751372,100,350,2.686918851,2.799890524,2.521489213,58.76193257,51.92867757
4.318298,0.36122754,3.778562,0.012422368,100,350,2.607476529,2.610918839,2.432247316,39.01779313,42.61107299
4.296181,0.10834061,3.665731,0.10084805,100,350,2.371447041,2.443671985,2.268632809,47.99714863,31.96005085
4.7831173,0.18769094,3.714706,0.086636305,100,350,2.324249288,2.333626454,2.188118277,39.09776426,34.52509427
4.541202,0.1748606,3.7653527,0.14059742,100,350,2.264236367,2.316336767,2.143160062,49.38608957,31.92550444
4.691851942,0.223496105,3.476449983,0.127493684,100,350,2.382286754,2.435075768,2.287766055,45.21042978,31.42136406
4.512338636,0.334790264,3.705841922,0.127501424,100,350,2.30223995,2.357124632,2.184700874,49.4615496,34.57940321
4.512338645,0.334790349,3.705841922,0.127501424,100,350,2.302595968,2.357240237,2.187367129,49.080395,35.80312648
4.691858307,0.334789689,3.500168062,0.080468752,100,350,2.418782385,2.442821698,2.327645131,42.0025939,36.17795046
4.5123406,0.334791354,3.705844715,0.127368568,100,350,2.302461386,2.35722638,2.188650749,49.85267777,33.36462573
4.691858307,0.334790097,3.47644149,0.080468752,100,350,2.427935843,2.475265293,2.33756799,49.85743773,31.66789571
4.691857344,0.223495809,3.476438881,0.080168058,100,350,2.438999513,2.42012407,2.351481261,41.10122665,36.87363847
4.512338514,0.223536996,3.476445138,0.080167788,100,350,2.463080325,2.467776816,2.380687041,50.42285107,39.11832104
4.512340701,0.334777775,3.658576728,0.127252489,100,350,2.323132821,2.379854245,2.20683397,49.66618976,33.12060821
4.512338446,0.334791498,3.52579389,0.127488601,100,350,2.379056629,2.429126192,2.28546618,43.47737954,39.82100646
4.523739,0.19429211,3.1983902,0.15570356,100,350,2.492363458,2.572150537,2.423990974,49.36867295,41.42856125
4.3967123,0.35020784,3.4186614,0.004132785,100,350,2.813905206,2.844583945,2.677328727,39.02383117,49.10153395
4.4446797,0.05420892,3.4077277,0.07432122,100,350,2.527967566,2.61979764,2.46028804,46.23348523,45.67179326
4.2974086,0.38523746,3.5024917,0.066775635,100,350,2.496455144,2.57125774,2.419961635,53.86888857,44.52433103
4.3298764,0.09756361,3.5202882,0.043622494,100,350,2.557118464,2.59783427,2.488605006,44.93051542,37.27453006
4.2928834,0.16839465,3.4937534,0.14631718,100,350,2.398362409,2.47731799,2.309409263,54.3275099,40.60742801
4.3610325,0.22926126,3.6933143,0.03375533,100,350,2.505477166,2.582741223,2.421881024,50.71683229,40.21443654
4.209177,0.34706545,3.6354308,0.14506693,100,350,2.342371785,2.415861199,2.231990312,50.87352557,32.52334148
4.676564,0.05277969,3.6896358,0.08167881,100,350,2.372660986,2.34052804,2.256076954,36.04474491,32.88559111
4.760402,0.34939605,3.7710052,0.14765637,100,350,2.22680362,2.263159838,2.106973171,47.8400376,34.6383851
4.498573,0.39488235,3.2193618,0.022464596,100,350,2.674874906,2.791360387,2.515807004,55.85035041,49.80836188
4.2811766,0.120403275,3.2718892,0.1501721,100,350,2.494175181,2.588799426,2.42763975,42.62763059,44.35881837
4.4936857,0.28707692,3.2549527,0.055233654,100,350,2.594296467,2.665943034,2.423264407,60.41036542,37.42004854
4.6032043,0.1650227,3.2379344,0.11961015,100,350,2.501943383,2.579573021,2.432208115,48.86595365,44.87202249
4.372389,0.3338892,3.5048828,0.017894335,100,350,2.659667029,2.766254719,2.491053084,56.42077031,47.91320907
4.3770685,0.32780695,3.6094303,0.082648344,100,350,2.414705306,2.471021036,2.322851923,44.37343768,36.48471272
4.693992,0.14907128,3.4194853,0.14324632,100,350,2.398189838,2.45669397,2.310327753,41.907881,41.42107847
4.3565226,0.33205113,3.7079763,0.07587847,100,350,2.384969625,2.449250549,2.286521273,48.62955693,41.8157593
4.7963905,0.15458332,3.5016851,0.016122773,100,350,2.614736292,2.705776255,2.43001774,49.19512011,39.18821869
4.6004767,0.14488989,3.657701,0.12945147,100,350,2.319538265,2.376038489,2.203129251,48.86879593,31.9754234
4.51233826,0.334760503,3.7058457,0.080167776,100,350,2.362143633,2.416669788,2.258615293,47.92764386,32.75110744
4.512338128,0.223558122,3.476439178,0.127485527,100,350,2.404014544,2.474221411,2.315732572,44.69979648,29.92311216
4.691837945,0.334791536,3.476439455,0.127494661,100,350,2.373977129,2.42090382,2.279899488,49.19801264,32.30457733
4.5145568,0.334787397,3.705772483,0.080167756,100,350,2.362010437,2.406767815,2.253119888,45.49633211,35.31826334
4.512338458,0.33479151,3.476448029,0.127485805,100,350,2.39962593,2.46360975,2.31030206,49.41373008,40.07157453
4.691453408,0.334530501,3.476439355,0.081308763,100,350,2.426820137,2.463863733,2.337869938,52.86475185,30.2350391
4.512361395,0.223538183,3.476439005,0.080167907,100,350,2.463413171,2.52233784,2.381691436,47.06509752,36.01922084
4.512338085,0.334791422,3.476439134,0.080167757,100,350,2.456988589,2.517633396,2.374129563,50.47284492,41.47172644
4.512375432,0.334787547,3.705772483,0.080604658,100,350,2.361568739,2.407109164,2.25285166,44.93202832,34.73184224
4.51233826,0.334791002,3.705844271,0.080167762,100,350,2.362161348,2.410868452,2.239576692,42.89901875,33.48804683
4.295262,0.32362565,3.1289618,0.049917135,100,350,2.685438764,2.806904357,2.523172622,57.52380716,46.93870292
4.3234468,0.11814443,3.3423014,0.027432708,100,350,2.700750787,2.823337965,2.521957491,53.83422427,49.76802374
4.696238,0.340077,3.1175938,0.121682875,100,350,2.50695,2.562629226,2.416758302,54.95732184,46.87121445
4.699713,0.3659726,3.1616702,0.07713025,100,350,2.536989713,2.557532622,2.417952572,55.76193849,36.83959264
4.362187,0.36103868,3.5740016,0.07403733,100,350,2.445427965,2.49802402,2.359518027,49.36873131,42.19853915
4.528998,0.18272783,3.4526482,0.10501469,100,350,2.439100524,2.507089763,2.355850549,46.886057,40.46422769
4.7389355,0.12882178,3.454863,0.012412483,100,350,2.670211161,2.68509598,2.510459463,45.16348685,42.0328101
4.696755,0.21802098,3.59072,0.048873115,100,350,2.455499388,2.503133945,2.365351311,50.11026758,33.02199225
4.7601314,0.19406642,3.5648432,0.1318143,100,350,2.335960562,2.381528814,2.219599064,46.02126015,34.05380205
4.7419615,0.13259006,3.8498352,0.022135621,100,350,2.461881423,2.440113371,2.296283308,35.25885771,31.96558595
4.3947906,0.1971692,3.1666596,0.020418577,100,350,2.777656767,2.887358951,2.590285568,57.78671312,32.08334734
4.235398,0.31315362,3.2654662,0.14161131,100,350,2.504628215,2.598013496,2.438865293,47.95782947,43.03726092
4.5439863,0.04245787,3.1800797,0.060287975,100,350,2.65270613,2.766901536,2.492981111,50.96172532,35.07960328
4.4925647,0.2248274,3.351489,0.13816713,100,350,2.447743983,2.486305131,2.369420612,49.53550419,40.83254149
4.711199,0.049918212,3.1832852,0.15243767,100,350,2.505093596,2.552190474,2.4373001,50.41594365,40.46925844
4.644722,0.39867488,3.4289136,0.13614601,100,350,2.38883387,2.437779675,2.296968639,50.24494663,30.73749548
4.5396333,0.2588037,3.5518088,0.05349059,100,350,2.478695531,2.476784195,2.393986642,47.6046458,40.56000775
4.291853,0.22513156,3.7260334,0.14148127,100,350,2.297215905,2.361596517,2.182450662,47.04410748,38.31278736
4.4213815,0.2780287,3.8377917,0.08840417,100,350,2.30078975,2.35547824,2.169333358,52.52390915,31.46250845
4.4721365,0.26742423,3.8095489,0.10997133,100,350,2.280146854,2.332510474,2.157918464,49.08359304,31.05138591
4.4802012,0.3782131,3.1883245,0.14437015,100,350,2.500165218,2.535486779,2.431636629,45.95463584,43.35527833
4.3014646,0.18620546,3.3962092,0.02887933,100,350,2.663990961,2.777820087,2.499664969,47.67908487,47.34889198
4.370277,0.28974512,3.4989681,0.09704197,100,350,2.442414357,2.514893109,2.357704657,48.70064877,39.99794432
4.426889,0.25475666,3.4813783,0.004790664,100,350,2.78995839,2.843823995,2.60932794,46.24979105,41.10885061
4.574704,0.28624624,3.409327,0.02666524,100,350,2.610113795,2.700593271,2.427860537,53.78947194,41.85981585
4.584481,0.32228157,3.4117866,0.05953789,100,350,2.507566005,2.567567253,2.429098265,52.1362894,42.35006787
4.6534514,0.3526109,3.4454918,0.13914014,100,350,2.380867316,2.432284107,2.289107203,45.9974773,29.46906653
4.5757875,0.26342615,3.6176903,0.093651414,100,350,2.37465025,2.430147203,2.274978165,45.66306631,30.83963949
4.615802,0.3936036,3.7365985,0.12168964,100,350,2.282078964,2.328300824,2.15691377,48.25612272,36.92701576
4.6855946,0.23704691,3.6883376,0.15801762,100,350,2.267657104,2.313674719,2.149639488,52.47249594,34.46963847
4.451063,0.36339167,3.068741,0.10745674,100,350,2.583673446,2.675529888,2.524296916,55.41892795,48.89070036
4.7205563,0.113314755,3.104789,0.039772574,100,350,2.680764994,2.779371523,2.516089351,50.03026918,50.51889906
4.7373753,0.1107199,3.3164594,0.009391954,100,350,2.740246417,2.822856742,2.589264732,30.36918962,43.14854172
4.3357,0.05360103,3.2641842,0.14342803,100,350,2.505017391,2.602893184,2.441083883,44.41342756,44.54334449
4.338,0.14630888,3.3833613,0.13423322,100,350,2.456324382,2.523758639,2.379986292,44.45262485,39.73165786
4.572176,0.20567292,3.458492,0.09656294,100,350,2.440768102,2.50503377,2.356077116,45.96903914,33.05541864
4.452213,0.12073773,3.5135865,0.06659673,100,350,2.487325818,2.565482222,2.40813975,48.41534828,40.03478066
4.656955,0.23805906,3.5775042,0.028356588,100,350,2.532205531,2.599424657,2.361472472,53.26980448,44.79102406
4.769458,0.06669541,3.7389088,0.04134065,100,350,2.435686479,2.422417066,2.315825268,35.68248318,32.66548414
4.202676,0.09062533,3.7679198,0.08407015,100,350,2.353947016,2.422638402,2.229579975,44.87129106,33.0907427
