sc_r,sc_eps,oc_r,oc_eps,D_11,D_11H,D_14,SE_T11,SE_T11H,SE_T14,BM_T11,BM_T11H,BM_T14
4.6870379006233,0.1079537346044639,3.2596387912738134,0.1218019361228149,2.490221747815231,2.564960224719101,2.416565867665418,592.437334607656,285.646998529877,545.6330278749502,66.47572756724918,47.06050546394045,41.63438667328656
4.465728609057547,0.0451331374250854,3.377699997052902,0.1342449244897854,2.4580484394506867,2.561338551810237,2.3829742072409483,592.6944181029827,252.2562847556051,529.8292459777679,65.94475629854225,44.73956789579816,37.35417473246588
4.796812374478104,0.3697144042121456,3.136983436895141,0.1100629025083734,2.4848513108614227,2.474407528089888,2.403070224719101,627.2177206355002,314.31342133928825,561.512828255182,67.1360702179773,50.51876285047864,43.38184236980607
4.563692030065045,0.2509896359222457,3.211772653608852,0.1275500197389502,2.501123383270911,2.5766785518102377,2.4310502996254684,610.7261618214022,321.1992156072433,543.2015882142266,68.11759001271258,52.40321287785899,46.80410548560373
4.402335983026889,0.1489988165736186,3.4889421848944195,0.1596784322885394,2.382242808988764,2.4575411735330834,2.290035905118602,673.5425452433759,329.59201663699275,547.6429104936262,67.1079550593286,48.84845888278795,34.95325325299563
4.274920672381986,0.391665678880169,3.8399458744645623,0.0072798217193291,2.661439263420724,2.76621606741573,2.4890442197253435,465.00498329656347,312.7459590736712,507.0974159709645,69.70745503930954,55.213965935969874,46.11075229515632
4.727115620875361,0.1040779202099259,3.7294539467181806,0.083525025120658,2.339011822721598,2.3903177028714104,2.210202459425718,639.0204007445866,290.6744431805312,604.5968793918735,64.22508269191496,38.67186940641736,34.51195286501139
4.223696043751494,0.2776835167954646,3.2964864445509834,0.1071331690121643,2.5295182397003746,2.6253280149812737,2.465887665418228,576.1553799046126,287.6406695392276,436.09845644120617,67.62703893354066,48.620718284353416,44.264980893918384
4.761070087092334,0.194813145547026,3.6542336163453086,0.0151797835719762,2.567115081148564,2.5424836704119853,2.3739752933832707,514.5757765411503,299.2687625563356,550.7274180310333,62.7468460670939,37.88190124122767,41.46224082595633
4.4486929429074085,0.091503271056922,3.3092326755284622,0.0767659211165677,2.5593802122347062,2.655088464419476,2.443653720349563,521.891075819899,342.9780918152465,403.28726666598914,65.89067255902785,48.528984290060606,40.74372904192778
4.26756053109615,0.2435648415695971,3.794360986179453,0.0278125285231061,2.497633058676654,2.5511008364544323,2.411617365792759,553.6802606388013,273.37252350788594,546.5878660932237,64.41112645123675,49.47572438020556,37.73365033323923
4.437379237974279,0.3503039725907512,3.552043498693612,0.0868229268708187,2.425333945068664,2.4895520224719103,2.336880624219725,656.1616164995424,248.49402485147027,475.408074717556,68.5967676150114,50.73325234672552,40.593066946759976
4.580170317319177,0.3390728100182955,3.0644509607348374,0.1027309720370257,2.567505742821473,2.626617191011236,2.4535685393258424,566.4047356229636,318.175564249724,448.3190034807421,68.89049561053596,59.79204650665298,32.113817962941326
4.316590020490089,0.1376507822059138,3.1233870259567404,0.0508939764135313,2.701388277153558,2.8281164169787765,2.55326354556804,421.1340322317853,320.087360037066,263.37409691297466,70.12133777529456,54.81009244686736,46.82086937977569
4.657135343817487,0.1888772453362831,3.0849431280782658,0.0460462833730664,2.658029151061174,2.76745684144819,2.501932559300874,538.4636969973984,277.89642770733286,611.166719195244,65.41287283813854,57.63083923552238,50.260369714931954
4.358259181803232,0.3070297634050414,3.760813386994204,0.0425010613934963,2.4413976029962545,2.4635435081148565,2.3489026716604244,606.3962735828128,311.5070593288244,482.9016542688423,65.62943383020698,48.217919925617245,35.2934964944755
4.455506613895899,0.2747596772964942,3.678987072920112,0.0648478600498285,2.410029138576779,2.473241947565543,2.314622421972534,636.3870319682983,308.4904173050713,494.5566698666928,64.97281360660033,45.23659537698824,35.383033634445255
4.641724381137714,0.1200118422501975,3.5322830104462266,0.1282486035272656,2.373963945068664,2.411340674157304,2.2777351935081147,660.6756321064175,326.3712277670358,581.2085261228384,64.839336430286,40.19949602713942,35.80151529444155
4.327518663536647,0.1160504925473003,3.3880351510315987,0.0345791969511393,2.6471918352059927,2.7562331210986266,2.464796916354557,446.6073009091099,319.42497799525825,404.5173839363269,63.95016757937002,51.44468773382732,36.90385187796507
4.671541005560757,0.1674193381197375,3.0768908858660824,0.1204955925999257,2.55104963795256,2.5461666042446938,2.4405108489388265,558.711917337575,337.47576480127657,456.5842858139868,70.00418791347087,49.317913201038735,36.95207853822569
4.618163824600051,0.127093172154213,3.805816457119892,0.0696808426339708,2.3368661922596754,2.3897582896379523,2.2120709488139823,633.3275067673293,305.19515426374426,600.1993253299628,61.106895002546025,48.346312457504325,32.942354806609885
