optimizers,sc_r,sc_eps,oc_r,oc_eps,ocx_r,ocx_eps,sos_ktheta,oso_ktheta,so_kr,D_11,D_11H,D_14,SE_T11,SE_T11H,SE_T14,BM_T11,BM_T11H,BM_T14,D_11_std,D_11H_std,D_14_std,SE_T11_std,SE_T11H_std,SE_T14_std,BM_T11_std,BM_T11H_std,BM_T14_std,error_D_11,error_D_11_std,error_D_11H,error_D_11H_std,error_D_14,error_D_14_std,error_SE_T11,error_SE_T11_std,error_SE_T11H,error_SE_T11H_std,error_SE_T14,error_SE_T14_std,error_BM_T11,error_BM_T11_std,error_BM_T11H,error_BM_T11H_std,error_BM_T14,error_BM_T14_std
,4.65,0.31,3.5500000000000003,0.08499999999999999,3.5500000000000003,0.08499999999999999,100.0,100.0,350.0,2.40175177278402,2.4157737453183525,2.306991061173533,662.278350833943,312.28860004482436,548.7866431241891,69.10672220377506,50.188962297474916,39.961940048109035,0.0012975292302327393,0.027923497590829426,0.006109940895581815,17.035287294643297,21.721391785557334,28.332961342000157,,,,2.367814114470736,0.052745090659867454,1.078399385705122,1.168347179532612,3.452513953970087,0.2739883809677944,2.6061248773613204,2.5051893080357788,3.911199986207888,6.683505164786872,13.576906594615883,4.461883675905536,2.6665884453872337,,9.324368026242249,,14.974595642321201,
,4.65,0.31,3.6500000000000004,0.11,3.6500000000000004,0.11,100.0,100.0,350.0,2.3292530212234706,2.378196154806492,2.210808177278402,701.0574274442808,373.2216147242051,668.199010166886,65.50608144554752,51.11414228356663,34.13061051307223,0.0011803326271856533,0.0024690982050143357,0.008053558525492513,16.469736021404426,13.572014671091898,23.236705793247655,,,,5.314917836444285,0.04798100110510786,0.4938847361300451,0.10330954832695964,0.8606198529864637,0.3611461222193952,3.0966805065118894,2.42202000314771,14.837419915140032,4.1760045141821225,5.228190577462355,3.659323746968135,7.7379134569753205,,7.652859469617655,,27.381679759420795,
,4.65,0.31,3.75,0.135,3.75,0.135,100.0,100.0,350.0,2.261760424469413,2.3066441573033702,2.142280449438202,702.6265631926973,240.99491387813148,652.1176456272134,66.33501153716219,49.05786480297921,33.54672561466283,0.0011732510684420887,0.0022816217522246495,0.004928007310034435,17.23587719506514,17.703225928232172,22.947743485764494,,,,8.05851933051166,0.04769313286349954,3.487692163038907,0.09546534528136609,3.9336121328160454,0.22098687488943652,3.3274357636319545,2.5346878228036966,25.847718806728775,5.447146439456053,2.6956922247580146,3.613817871773936,6.570406285687059,,11.367904601663579,,28.623988053908867,
,4.65,0.31,3.85,0.16,3.85,0.16,100.0,100.0,350.0,2.1970159675405743,2.238993782771536,2.08343252184769,643.6976991119926,106.20016836996308,613.5889444944048,67.39635024431524,49.08482376778018,31.31331250102897,0.0011527288683576356,0.002271715441632771,0.0052855309934134904,16.54109701074913,23.359230481714512,19.34904047143273,,,,10.69040782355389,0.04685889708770877,6.318251766881351,0.09505085529844229,6.572532652569949,0.23701932705890094,5.338573660001085,2.432514266286637,67.32302511693445,7.1874555328352345,3.371819764660659,3.0470929876272015,5.075563036175713,,11.319198251526327,,33.37593084887453,
,4.725,0.355,3.45,0.06,3.45,0.06,100.0,100.0,350.0,2.4631122471910114,2.4965466916354555,2.3756841198501872,620.6563013362622,358.0376454324732,548.8499918600065,68.15844053312792,50.12081121632653,30.382164378403175,0.001368874791140601,0.027689330010241174,0.0046336566020388275,17.818207844942837,15.653122587893705,50.80615913827928,,,,0.12651411345574964,0.055645316713032564,4.458020570521145,1.1585493728134382,6.532920172654137,0.20778729157124787,8.727014509373202,2.6203246830798292,10.165429363837907,4.816345411659602,13.566930415747004,8.000969943036107,4.002196432214204,,9.447495544125513,,35.357097067227286,
,4.725,0.355,3.5500000000000003,0.08499999999999999,3.5500000000000003,0.08499999999999999,100.0,100.0,350.0,2.3862651935081147,2.4277581897627964,2.290640836454432,675.5876328682419,309.6714900462903,651.3770413155925,66.95839348055561,48.7912673386232,35.223614538286164,0.0012733925136256305,0.005541109012999568,0.005656815329712422,16.603290005391056,14.134436286972175,26.343948382785424,,,,2.997349857393709,0.05176392331811506,1.5798405758492184,0.23184556539747145,2.719320020378125,0.2536688488660279,0.6488775193761853,2.4416602949104496,4.716464601141454,4.349057319068361,2.5790616245027502,4.148653288627626,5.692403548513219,,11.849562170509126,,25.056139280242206,
,4.725,0.355,3.6500000000000004,0.11,3.6500000000000004,0.11,100.0,100.0,350.0,2.3165209488139826,2.3560648689138577,2.1859339200998753,707.9454122646007,353.73216216070745,699.5359020900183,68.2202655202014,46.90256446084673,34.896182312253686,0.001191436779114491,0.005049102149297921,0.013505447951238337,17.05646001717382,24.753006240984135,24.19818057799847,,,,5.83248175552916,0.04843238939489801,1.4198799617632816,0.21125950415472475,1.976057394624425,0.6056254686653962,4.109619450676572,2.508302943702032,8.840665280217676,7.616309612610504,10.163134187404463,3.8107370988973974,3.915118985631839,,15.26185282593183,,25.752803590949604,
,4.725,0.355,3.75,0.135,3.75,0.135,100.0,100.0,350.0,2.250853108614232,2.2899426217228465,2.133034656679151,702.202722835554,333.1939380310193,674.8955474418912,66.67892179036437,50.79327896949869,37.69977962761634,0.0011752993020665722,0.0022367525272093793,0.005461539312614477,16.143072331811325,15.639597521272542,25.07735148822863,,,,8.501906153893005,0.04777639439295009,4.186501183144505,0.09358797184976482,4.348221673580675,0.2449120767988555,3.2651062993461806,2.3739812252663715,2.521211701852088,4.812183852699244,6.2827633766757724,3.949189210744666,6.086025647374126,,8.232558320688915,,19.787702919965238,
,4.725,0.355,3.85,0.16,3.85,0.16,100.0,100.0,350.0,2.1877247066167294,2.225199413233458,2.07819354556804,632.9557779295126,92.88331036275103,617.4797086696557,64.24881764084911,48.253704349599715,35.6931652597424,0.0010685285186033359,0.002250130780704679,0.003921550575121216,16.598735465275112,23.582423547379722,20.557264591338704,,,,11.06810135704352,0.04343611864241202,6.895422040441091,0.09414773141023762,6.8074643243031465,0.17585428587987514,6.918267951542268,2.440990509599281,71.42051988838429,7.256130322270684,2.7591009969046176,3.237364502573024,9.508707548099844,,12.82076901608001,,24.057095192037448,
,4.8,0.4,3.45,0.06,3.45,0.06,100.0,100.0,350.0,2.442170399500624,2.408901198501873,2.3499362546816482,633.9343164589693,316.27691096321837,597.3325070847768,66.83219364460781,43.329583746665605,27.698688861632156,0.0013938113538782002,0.0031455755533443693,0.005135463655314504,17.538509020595125,33.96103825226477,82.66074421888194,,,,0.7247805081047104,0.05665899812513009,0.7908451256013712,0.13161403988888573,5.378307384827276,0.23028985001410332,6.774365226622161,2.5791925030286946,2.684027395932809,10.449550231466084,5.931888648066645,13.017440034469596,5.870149796327024,,21.717102535382832,,41.06661944333584,
,4.8,0.4,3.5500000000000003,0.08499999999999999,3.5500000000000003,0.08499999999999999,100.0,100.0,350.0,2.3688820474406995,2.375421697877653,2.232792297128589,684.9040144888702,333.42261754544273,663.6194724638628,70.11627593559466,42.56818997247748,33.75101230515749,0.0012688850628589565,0.006930351947311763,0.013410175491640818,16.956581762238752,17.88619187408717,23.810353846606404,,,,3.7039818113536764,0.05158069361215271,0.6099708000982151,0.28997288482475997,0.1252151178739549,0.6013531610601264,0.7211786013044396,2.4936149650351105,2.591574629366995,5.5034436535652835,4.507003537616197,3.7496620230876228,1.244681780852595,,23.092701043401128,,28.189335520941516,
