# Time-averaged data for fix msd_out
# TimeStep c_msd_poly[1] c_msd_poly[2] c_msd_poly[3] c_msd_poly[4]
5473000 21.5218 15.7891 46.887 84.1979
5474000 22.6706 15.3149 47.0405 85.026
5475000 22.7249 15.2048 45.1761 83.1058
5476000 22.2503 14.8326 43.423 80.5059
5477000 22.9365 15.0709 41.5136 79.521
5478000 22.3295 14.8969 41.8016 79.0281
5479000 22.1234 15.3389 41.7367 79.1991
5480000 21.2257 16.2403 42.3741 79.8401
5481000 20.9466 17.4954 41.3704 79.8125
5482000 21.243 17.4542 41.4886 80.1858
5483000 21.1985 18.7969 41.6509 81.6463
5484000 21.96 20.4673 41.4152 83.8425
5485000 23.6004 21.2683 43.0562 87.925
5486000 25.0327 21.344 45.5888 91.9654
5487000 24.3005 21.0189 46.7968 92.1163
5488000 24.1471 21.4739 47.9129 93.5339
5489000 24.1662 22.0691 49.5289 95.7642
5490000 23.8793 23.906 49.2665 97.0519
5491000 23.6869 25.7029 49.3 98.6898
5492000 23.7153 26.3578 49.9177 99.9908
5493000 23.525 25.9701 50.6541 100.149
5494000 23.3572 25.4391 51.8932 100.689
5495000 23.5276 25.0265 54.2008 102.755
5496000 23.4758 24.5523 55.1636 103.192
5497000 23.3174 24.9186 56.5038 104.74
5498000 22.2924 25.7691 55.1966 103.258
5499000 22.527 25.888 53.8863 102.301
5500000 22.9975 26.3822 55.0938 104.473
5501000 23.0037 27.1348 53.8994 104.038
5502000 23.117 27.2495 52.1922 102.559
5503000 23.156 27.9746 52.0033 103.134
5504000 23.3385 28.6991 52.7828 104.82
5505000 24.4768 28.9461 55.4675 108.89
5506000 24.7891 29.205 57.2618 111.256
5507000 24.7569 29.8593 57.1619 111.778
5508000 24.3949 28.7484 58.702 111.845
5509000 25.2623 28.1872 58.7574 112.207
5510000 25.2554 29.2904 59.5451 114.091
5511000 25.9627 29.9166 59.2968 115.176
5512000 26.7696 30.6645 60.4641 117.898
5513000 26.2574 28.9927 60.7461 115.996
5514000 26.6037 28.3543 60.9976 115.956
5515000 25.7726 27.9437 58.9468 112.663
5516000 25.2927 28.0487 56.763 110.104
5517000 24.536 28.9796 55.341 108.857
5518000 23.7301 29.6075 55.8629 109.201
5519000 23.6452 30.7674 57.6705 112.083
5520000 24.2394 31.2276 59.6291 115.096
5521000 24.3766 31.8454 57.8773 114.099
5522000 24.4786 32.1937 55.7588 112.431
5523000 25.7054 32.5502 56.1912 114.447
