# Time-averaged data for fix eint_out
# TimeStep c_eint_total c_eint_water c_eint_pair
5338000 -2749.29 -4604.4 -1084.56
5339000 -2760.37 -4587.57 -1091.24
5340000 -2783.79 -4522.02 -1093.46
5341000 -2780.84 -4547.5 -1080.35
5342000 -2796.93 -4554.7 -1095.07
5343000 -2837.83 -4525.32 -1101.97
5344000 -2827.97 -4575.16 -1102
5345000 -2787.53 -4586.05 -1078.98
5346000 -2810.36 -4609.94 -1084.78
5347000 -2775 -4623.45 -1078.9
5348000 -2769.22 -4661.81 -1081.39
5349000 -2715.58 -4750.27 -1076.94
5350000 -2732.72 -4681.31 -1079.56
5351000 -2751.09 -4633.84 -1076.77
5352000 -2756.93 -4596.69 -1087.3
5353000 -2779.54 -4518.14 -1090.33
5354000 -2777.48 -4567.77 -1100.62
5355000 -2776.03 -4600.23 -1102.92
5356000 -2755.75 -4588.07 -1092.79
5357000 -2746.29 -4590.93 -1080.82
5358000 -2747.99 -4571.28 -1091.57
5359000 -2767.6 -4471.53 -1103.87
5360000 -2746.79 -4534.72 -1096.46
5361000 -2721.65 -4555.5 -1091.84
5362000 -2823.18 -4491.62 -1101.11
5363000 -2811.09 -4505.03 -1088.39
5364000 -2852.85 -4436.77 -1103.28
5365000 -2885.44 -4420.4 -1129.21
5366000 -2855.71 -4440.39 -1121.05
5367000 -2870.81 -4492.88 -1109
5368000 -2907.22 -4529.21 -1135.04
5369000 -2888.68 -4576.13 -1133.25
5370000 -2835.08 -4637.51 -1111.53
5371000 -2835.6 -4614.94 -1124.39
5372000 -2867.84 -4539.56 -1141.21
5373000 -2848.94 -4624.92 -1149.84
5374000 -2804.49 -4684.51 -1110.32
5375000 -2868.96 -4637.35 -1119.61
5376000 -2807.06 -4686.63 -1107.68
5377000 -2785.48 -4684.63 -1110.17
5378000 -2832.06 -4699.95 -1116.85
5379000 -2837.11 -4671.41 -1130.28
5380000 -2841.46 -4577.55 -1143.46
5381000 -2870.56 -4537.45 -1135.12
5382000 -2851.93 -4503.11 -1132.58
5383000 -2829.97 -4546.78 -1124.65
5384000 -2774.26 -4544.66 -1105.17
5385000 -2793.83 -4550.11 -1100.65
5386000 -2777.48 -4568.05 -1107.57
5387000 -2764.76 -4583.66 -1098.42
5388000 -2814.75 -4604.13 -1113.68
5389000 -2811.59 -4652.9 -1099.77
5390000 -2806.22 -4577.7 -1107.59
5391000 -2790.74 -4603.3 -1111.83
5392000 -2777 -4673.61 -1103.9
5393000 -2747.77 -4649.76 -1077.33
5394000 -2766.06 -4582.14 -1093.88
5395000 -2749.81 -4568.25 -1099.03
5396000 -2749.05 -4583.33 -1102.85
5397000 -2761.3 -4496.66 -1112.05
5398000 -2758.75 -4501.89 -1113.09
5399000 -2768.1 -4528.79 -1088.85
5400000 -2772.99 -4561.7 -1085.45
5401000 -2724.45 -4577.68 -1079.5
5402000 -2828.12 -4553.29 -1105.55
5403000 -2812.19 -4562.85 -1116
5404000 -2799.23 -4602.39 -1122.61
5405000 -2814.92 -4644.36 -1111.55
5406000 -2844.74 -4669.17 -1117.21
5407000 -2833.05 -4642.25 -1105.51
5408000 -2796.84 -4615.89 -1095.78
